accuracy,f1,roc_auc,precision,recall,userId,train_size,test_size,model
0.8,0.8571428571428571,0.8333333333333333,0.75,1.0,267903,16,5,GraphSAGE
0.4,0.5714285714285715,0.3333333333333333,0.5,0.6666666666666666,263665,18,5,GraphSAGE
0.4,,,,,98503,18,5,GraphSAGE
1.0,,,,,204829,18,5,GraphSAGE
0.6,0.6666666666666666,0.5,0.5,1.0,81787,16,5,GraphSAGE
0.8,0.888888888888889,0.5,0.8,1.0,58073,16,5,GraphSAGE
0.4,0.4,0.33333333333333337,0.3333333333333333,0.5,88846,17,5,GraphSAGE
0.6,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,242798,18,5,GraphSAGE
0.8,0.8571428571428571,0.5,0.75,1.0,202592,17,5,GraphSAGE
0.4,0.5714285714285715,0.8333333333333334,0.4,1.0,257402,18,5,GraphSAGE
0.8,0.888888888888889,1.0,0.8,1.0,65197,17,5,GraphSAGE
0.6,0.75,0.0,0.75,0.75,196336,17,5,GraphSAGE
0.6,0.5,0.5,0.5,0.5,269418,18,5,GraphSAGE
0.8,0.0,0.75,0.0,0.0,5205,16,5,GraphSAGE
0.2,,,,,114818,18,5,GraphSAGE
0.4,0.5714285714285715,0.5,0.4,1.0,141,18,5,GraphSAGE
0.2,,,,,67758,18,5,GraphSAGE
0.4,0.4,0.33333333333333337,0.3333333333333333,0.5,239572,17,5,GraphSAGE
0.4,0.5714285714285715,0.6666666666666667,0.4,1.0,265212,18,5,GraphSAGE
0.4,0.0,0.5,0.0,0.0,60030,17,5,GraphSAGE
0.4,0.4,0.75,1.0,0.25,171616,16,5,GraphSAGE
0.5,0.5714285714285715,0.22222222222222224,0.5,0.6666666666666666,205574,22,6,GraphSAGE
0.5,0.4,1.0,1.0,0.25,13897,22,6,GraphSAGE
1.0,,,,,200919,21,6,GraphSAGE
0.8,0.6666666666666666,1.0,0.5,1.0,72026,19,5,GraphSAGE
0.8,0.0,0.25,0.0,0.0,264566,20,5,GraphSAGE
0.6666666666666666,0.7499999999999999,0.7777777777777779,0.6,1.0,174957,21,6,GraphSAGE
0.6666666666666666,0.0,0.125,0.0,0.0,165741,22,6,GraphSAGE
0.6,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,93509,20,5,GraphSAGE
0.4,0.4,0.5,1.0,0.25,246687,19,5,GraphSAGE
0.4,0.5714285714285715,0.6666666666666666,0.5,0.6666666666666666,107098,19,5,GraphSAGE
0.6666666666666666,0.8,0.5,0.6666666666666666,1.0,207235,21,6,GraphSAGE
0.6,0.6666666666666666,0.5,0.5,1.0,107061,20,5,GraphSAGE
0.6666666666666666,0.8,0.375,0.6666666666666666,1.0,11481,21,6,GraphSAGE
0.6666666666666666,0.0,0.5,0.0,0.0,158033,20,6,GraphSAGE
0.5,0.6666666666666665,0.375,0.6,0.75,179,20,6,GraphSAGE
0.5,0.6666666666666666,0.22222222222222224,0.5,1.0,41336,20,6,GraphSAGE
0.6,0.75,0.0,0.75,0.75,180453,19,5,GraphSAGE
0.6666666666666666,0.0,0.6,0.0,0.0,225869,22,6,GraphSAGE
0.4,0.5714285714285715,0.6666666666666666,0.5,0.6666666666666666,488,20,5,GraphSAGE
0.3333333333333333,0.33333333333333337,0.2,1.0,0.2,221082,21,6,GraphSAGE
0.16666666666666666,0.28571428571428575,0.25,0.3333333333333333,0.25,127253,20,6,GraphSAGE
0.6,0.0,0.75,0.0,0.0,83377,19,5,GraphSAGE
0.5,0.4,0.6666666666666667,0.5,0.3333333333333333,2305,21,6,GraphSAGE
0.2,,,,,43341,20,5,GraphSAGE
0.6,0.5,1.0,1.0,0.3333333333333333,9516,20,5,GraphSAGE
0.5,0.5714285714285715,0.7777777777777778,0.5,0.6666666666666666,176806,21,6,GraphSAGE
0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,107420,21,6,GraphSAGE
0.8333333333333334,0.8571428571428571,0.7777777777777779,0.75,1.0,190645,20,6,GraphSAGE
0.2857142857142857,0.4444444444444445,0.9,0.2857142857142857,1.0,127107,26,7,GraphSAGE
0.6666666666666666,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.6666666666666666,104070,24,6,GraphSAGE
0.0,0.0,0.0,0.0,0.0,229336,23,6,GraphSAGE
1.0,,,,,181650,25,7,GraphSAGE
0.8333333333333334,0.8571428571428571,0.875,1.0,0.75,155028,24,6,GraphSAGE
0.42857142857142855,0.0,0.39999999999999997,0.0,0.0,217695,25,7,GraphSAGE
0.2857142857142857,0.4444444444444445,0.4166666666666667,0.4,0.5,57096,24,7,GraphSAGE
0.42857142857142855,0.6,0.3,0.6,0.6,218379,24,7,GraphSAGE
0.5,0.6666666666666665,0.0,0.6,0.75,216752,23,6,GraphSAGE
0.42857142857142855,0.5,0.5,0.4,0.6666666666666666,134737,24,7,GraphSAGE
0.42857142857142855,0.5,0.4,0.6666666666666666,0.4,68479,24,7,GraphSAGE
0.2857142857142857,0.0,0.3,0.0,0.0,156954,25,7,GraphSAGE
0.42857142857142855,0.0,0.5,0.0,0.0,49497,25,7,GraphSAGE
0.14285714285714285,0.0,0.19999999999999996,0.0,0.0,8696,26,7,GraphSAGE
0.6666666666666666,0.8000000000000002,0.8,0.8,0.8,163693,23,6,GraphSAGE
0.5714285714285714,0.6666666666666665,0.6666666666666667,0.6,0.75,94540,24,7,GraphSAGE
0.0,,,,,80931,23,6,GraphSAGE
0.8571428571428571,0.6666666666666666,0.7,1.0,0.5,175337,26,7,GraphSAGE
0.5714285714285714,0.0,0.39999999999999997,0.0,0.0,81901,24,7,GraphSAGE
0.6666666666666666,0.5,0.7777777777777778,1.0,0.3333333333333333,98000,23,6,GraphSAGE
0.7142857142857143,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,113325,25,7,GraphSAGE
0.5714285714285714,0.6666666666666666,0.3333333333333333,0.5,1.0,165320,26,7,GraphSAGE
0.8571428571428571,0.888888888888889,1.0,0.8,1.0,51030,24,7,GraphSAGE
0.2857142857142857,0.2857142857142857,0.16666666666666663,0.16666666666666666,1.0,51807,28,7,GraphSAGE
0.375,0.5454545454545454,0.25,0.6,0.5,249297,30,8,GraphSAGE
0.625,0.5714285714285715,0.6666666666666666,0.5,0.6666666666666666,57735,32,8,GraphSAGE
0.25,0.4,0.125,0.3333333333333333,0.5,250722,32,8,GraphSAGE
0.375,0.4444444444444445,0.4,0.5,0.4,152769,32,8,GraphSAGE
0.625,0.4,0.5,1.0,0.25,57604,28,8,GraphSAGE
0.5,0.3333333333333333,0.6875,0.5,0.25,95847,31,8,GraphSAGE
0.875,0.923076923076923,0.9166666666666667,0.8571428571428571,1.0,177442,28,8,GraphSAGE
0.375,0.5454545454545454,0.3333333333333333,0.6,0.5,481,32,8,GraphSAGE
0.5,0.5,0.5,0.5,0.5,82327,31,8,GraphSAGE
0.625,0.7692307692307692,0.41666666666666663,0.7142857142857143,0.8333333333333334,224792,32,8,GraphSAGE
0.375,0.5454545454545454,0.4666666666666667,0.375,1.0,74528,29,8,GraphSAGE
0.75,0.8,0.8125,0.6666666666666666,1.0,152293,28,8,GraphSAGE
0.75,0.7499999999999999,0.7333333333333333,0.6,1.0,89868,28,8,GraphSAGE
0.0,,,,,233797,28,7,GraphSAGE
0.5,0.6,0.6666666666666666,0.42857142857142855,1.0,100780,29,8,GraphSAGE
0.625,0.6666666666666666,0.75,1.0,0.5,141529,29,8,GraphSAGE
0.625,0.5714285714285715,0.6875,0.6666666666666666,0.5,134663,32,8,GraphSAGE
0.625,0.7272727272727273,0.875,0.5714285714285714,1.0,41450,29,8,GraphSAGE
0.5714285714285714,0.4,0.5833333333333334,0.5,0.3333333333333333,4241,27,7,GraphSAGE
0.75,0.5,0.6666666666666666,1.0,0.3333333333333333,12745,31,8,GraphSAGE
